epoch,lr-AdamW,step,train_auroc,train_loss,val_ap,val_auroc,val_loss
,0.0003,0,,,,,
0,,894,,,0.9108858704566956,0.9992362260818481,0.037384357303380966
0,,894,0.9904825687408447,0.24836090207099915,,,
,0.0002926829491861254,895,,,,,
1,,1789,,,0.9326245188713074,0.9994359016418457,0.031162969768047333
1,,1789,0.9986124038696289,0.040208857506513596,,,
,0.0002714480406590546,1790,,,,,
2,,2684,,,0.924369752407074,0.9993613362312317,0.027980852872133255
2,,2684,0.9986706972122192,0.03424271196126938,,,
,0.0002383738952177247,2685,,,,,
3,,3579,,,0.9090909361839294,0.9992194771766663,0.02338617481291294
3,,3579,0.998907744884491,0.026993632316589355,,,
,0.0001966980406590546,3580,,,,,
4,,4474,,,0.9128630757331848,0.9992549419403076,0.019544290378689766
4,,4474,0.9991366863250732,0.024061430245637894,,,
,0.00015049999999999997,4475,,,,,
5,,5369,,,0.9128630757331848,0.9992548227310181,0.019943958148360252
5,,5369,0.9991540312767029,0.02108340710401535,,,
,0.00010430195934094535,5370,,,,,
6,,6264,,,0.9322034120559692,0.9994322657585144,0.016094285994768143
6,,6264,0.9992327690124512,0.019604139029979706,,,
,6.262610478227527e-05,6265,,,,,
7,,7159,,,0.9282700419425964,0.999396800994873,0.016334353014826775
7,,7159,0.9991101026535034,0.019304944202303886,,,
,2.955195934094537e-05,7160,,,,,
8,,8054,,,0.936170220375061,0.9994678497314453,0.01667657308280468
8,,8054,0.9991953372955322,0.018227454274892807,,,
,8.317050813874547e-06,8055,,,,,
9,,8949,,,0.936170220375061,0.9994677901268005,0.015766264870762825
9,,8949,0.9992246627807617,0.018027128651738167,,,
,0.0003,8950,,,,,
10,,9844,,,0.9205020666122437,0.9993258714675903,0.017005261033773422
10,,9844,0.9991990327835083,0.017410511150956154,,,
,0.00029815940691897306,9845,,,,,
11,,10739,,,0.94017094373703,0.9995032548904419,0.016148163005709648
11,,10739,0.9992140531539917,0.017722370103001595,,,
,0.0002926829491861254,10740,,,,,
12,,11634,,,0.9442059993743896,0.999538779258728,0.012186862528324127
12,,11634,0.999172568321228,0.01750791259109974,,,
,0.00028370547536616097,11635,,,,,
13,,12529,,,0.924369752407074,0.9993613362312317,0.012711606919765472
13,,12529,0.9991944432258606,0.01839813031256199,,,
,0.0002714480406590546,12530,,,,,
14,,13424,,,0.9322034120559692,0.9994323253631592,0.013801167719066143
14,,13424,0.9994036555290222,0.015300535596907139,,,
,0.00025621246378738883,13425,,,,,
15,,14319,,,0.95652174949646,0.9996452927589417,0.00982647854834795
15,,14319,0.9992635250091553,0.016851821914315224,,,
,0.0002383738952177247,14320,,,,,
16,,15214,,,0.94017094373703,0.9995032548904419,0.01207552570849657
16,,15214,0.9995321035385132,0.014130105264484882,,,
,0.0002183715797110622,15215,,,,,
17,,16109,,,0.94017094373703,0.9995032548904419,0.015192360617220402
17,,16109,0.9994512796401978,0.0161801278591156,,,
,0.0001966980406590546,16110,,,,,
18,,17004,,,0.9282700419425964,0.9993968605995178,0.016073312610387802
18,,17004,0.9995731115341187,0.015339730307459831,,,
,0.00017388695252351449,17005,,,,,
19,,17899,,,0.960698664188385,0.9996806979179382,0.010498104616999626
19,,17899,0.9995774030685425,0.01261239405721426,,,
,0.00015049999999999997,17900,,,,,
20,,18794,,,0.9482758641242981,0.9995741844177246,0.012845491990447044
20,,18794,0.9996155500411987,0.012786719016730785,,,
,0.00012711304747648549,18795,,,,,
21,,19689,,,0.9482758641242981,0.9995741844177246,0.00943331141024828
21,,19689,0.9995624423027039,0.011980629526078701,,,
,0.00010430195934094535,19690,,,,,
22,,20584,,,0.95652174949646,0.9996452927589417,0.010935259982943535
22,,20584,0.9995070695877075,0.01256908755749464,,,
,8.262842028893775e-05,20585,,,,,
23,,21479,,,0.9680619239807129,0.9997417330741882,0.00818038173019886
23,,21479,0.9995641708374023,0.012975077144801617,,,
,6.262610478227527e-05,21480,,,,,
24,,22374,,,0.9482758641242981,0.9995743632316589,0.008975369855761528
24,,22374,0.9995274543762207,0.010771002620458603,,,
,4.478753621261114e-05,22375,,,,,
25,,23269,,,0.9482758641242981,0.9995741844177246,0.010404725559055805
25,,23269,0.9993698596954346,0.011959259398281574,,,
,2.955195934094537e-05,23270,,,,,
26,,24164,,,0.9482758641242981,0.9995742440223694,0.010678176768124104
26,,24164,0.9996313452720642,0.012182016856968403,,,
,1.7294524633839014e-05,24165,,,,,
27,,25059,,,0.9442059993743896,0.9995388388633728,0.012290566228330135
27,,25059,0.9994919300079346,0.011615016497671604,,,
,8.317050813874547e-06,25060,,,,,
28,,25954,,,0.9523809552192688,0.9996097087860107,0.009088613092899323
28,,25954,0.99958336353302,0.010288801044225693,,,
,2.8405930810269197e-06,25955,,,,,
29,,26849,,,0.9482758641242981,0.9995742440223694,0.01140940748155117
29,,26849,0.9994924068450928,0.012064820155501366,,,
,0.0003,26850,,,,,
30,,27744,,,0.936170220375061,0.9994677901268005,0.013990300707519054
30,,27744,0.9994736909866333,0.015430879779160023,,,
,0.0002995391413931026,27745,,,,,
31,,28639,,,0.9523809552192688,0.9996097087860107,0.01019240915775299
31,,28639,0.9994156360626221,0.01608332060277462,,,
,0.00029815940691897306,28640,,,,,
32,,29534,,,0.9482758641242981,0.9995742440223694,0.010950432159006596
32,,29534,0.9994590282440186,0.0152659323066473,,,
,0.00029586930309945264,29535,,,,,
33,,30429,,,0.9479620456695557,0.9995715022087097,0.011794636026024818
33,,30429,0.9994252324104309,0.01613822765648365,,,
,0.0002926829491861254,30430,,,,,
34,,31324,,,0.9482758641242981,0.9995741844177246,0.011108767241239548
34,,31324,0.9996875524520874,0.013924892991781235,,,
,0.0002886199901104373,31325,,,,,
35,,32219,,,0.9282700419425964,0.9993969202041626,0.014787922613322735
35,,32219,0.9994322061538696,0.013821102678775787,,,
,0.00028370547536616097,32220,,,,,
36,,33114,,,0.9442059993743896,0.9995388388633728,0.01134586427360773
36,,33114,0.9994074702262878,0.010852940380573273,,,
,0.0002779697045709368,33115,,,,,
37,,34009,,,0.9482758641242981,0.9995741844177246,0.01222145650535822
37,,34009,0.9994288682937622,0.01341256033629179,,,
,0.0002714480406590546,34010,,,,,
38,,34904,,,0.94017094373703,0.9995032548904419,0.011524055153131485
38,,34904,0.9996334910392761,0.01255208719521761,,,
