Hugo_Symbol,n_variants,n_predicted_artifacts,artifact_rate,mean_probability
TTN,262,157,0.5992366412213741,0.6706112
MUC16,132,99,0.75,0.7821366
EGFR,132,65,0.49242424242424243,0.5487958
FLG,74,48,0.6486486486486487,0.72601765
MUC17,49,43,0.8775510204081632,0.8930777
TP53,155,37,0.23870967741935484,0.2954597
RELN,42,33,0.7857142857142857,0.8160192
RYR2,62,33,0.532258064516129,0.62006736
PCLO,41,32,0.7804878048780488,0.8026509
PKHD1,47,32,0.6808510638297872,0.73017824
NF1,47,31,0.6595744680851063,0.7313419
HMCN1,47,30,0.6382978723404256,0.6918203
SPTA1,53,30,0.5660377358490566,0.63909006
PTEN,118,29,0.2457627118644068,0.28322127
SYNE1,39,28,0.717948717948718,0.7620156
LRP2,47,28,0.5957446808510638,0.6893231
OBSCN,72,28,0.3888888888888889,0.44739798
DNAH11,39,26,0.6666666666666666,0.6900448
DNAH5,47,25,0.5319148936170213,0.62364703
DST,50,25,0.5,0.57331145
GRM3,25,24,0.96,0.9472578
APOB,26,23,0.8846153846153846,0.8853853
FCGBP,29,23,0.7931034482758621,0.8246473
PIK3CG,32,23,0.71875,0.74268067
DNAH2,41,23,0.5609756097560976,0.6405407
DNAH3,49,23,0.46938775510204084,0.60971856
FAT2,29,22,0.7586206896551724,0.7665134
COL6A3,36,22,0.6111111111111112,0.65255415
USH2A,43,22,0.5116279069767442,0.65157515
KMT2C,28,21,0.75,0.77328914
GRIN2A,31,21,0.6774193548387096,0.73999923
DCHS2,25,20,0.8,0.810683
PIK3CA,39,20,0.5128205128205128,0.56160486
CNTNAP2,23,19,0.8260869565217391,0.82673067
TCHH,24,19,0.7916666666666666,0.8073675
TRRAP,24,19,0.7916666666666666,0.8652365
SDK1,25,19,0.76,0.7480555
HUWE1,26,19,0.7307692307692307,0.7362048
MACF1,29,19,0.6551724137931034,0.7242197
AHNAK,30,19,0.6333333333333333,0.6772467
RIMS2,34,19,0.5588235294117647,0.653073
PLXNA4,18,18,1.0,0.97972214
NEB,26,18,0.6923076923076923,0.7143616
CSMD3,27,18,0.6666666666666666,0.7482716
FER1L6,29,18,0.6206896551724138,0.75230855
AHNAK2,38,18,0.47368421052631576,0.496947
PKD1L1,18,17,0.9444444444444444,0.9289973
FAT4,21,17,0.8095238095238095,0.78418785
DNAH7,23,17,0.7391304347826086,0.6869082
PIK3R1,27,17,0.6296296296296297,0.73448634
ATRX,35,17,0.4857142857142857,0.49819767
HYDIN,35,17,0.4857142857142857,0.5973055
MUC3A,17,16,0.9411764705882353,0.9462106
LCT,18,16,0.8888888888888888,0.8392092
VPS13D,21,16,0.7619047619047619,0.77913266
NLRP5,22,16,0.7272727272727273,0.7665018
KIF2B,25,16,0.64,0.776667
RYR1,26,16,0.6153846153846154,0.7004531
DSP,28,16,0.5714285714285714,0.6402163
LAMA1,31,16,0.5161290322580645,0.5973776
ADGRV1,33,16,0.48484848484848486,0.612694
COL1A2,16,15,0.9375,0.91563666
LAMA2,17,15,0.8823529411764706,0.86627316
PPP1R3A,18,15,0.8333333333333334,0.8921115
TRIO,18,15,0.8333333333333334,0.79292136
ZFHX3,19,15,0.7894736842105263,0.80630547
ANK2,21,15,0.7142857142857143,0.83513397
COL14A1,22,15,0.6818181818181818,0.70230716
FBN2,22,15,0.6818181818181818,0.7725392
MYH1,23,15,0.6521739130434783,0.6825955
SACS,23,15,0.6521739130434783,0.6832559
SYNE2,23,15,0.6521739130434783,0.67201877
TEX15,24,15,0.625,0.74182105
TAF1L,29,15,0.5172413793103449,0.61763674
DNAH8,30,15,0.5,0.6139012
ARHGEF5,15,14,0.9333333333333333,0.9457322
ABCB4,17,14,0.8235294117647058,0.8624365
LAMB4,17,14,0.8235294117647058,0.81238085
TLL1,17,14,0.8235294117647058,0.80098486
GABRA6,18,14,0.7777777777777778,0.7756896
ZAN,21,14,0.6666666666666666,0.70886165
FLNA,22,14,0.6363636363636364,0.6457541
MYH13,22,14,0.6363636363636364,0.68387675
FRAS1,26,14,0.5384615384615384,0.5629669
IDH1,26,14,0.5384615384615384,0.5983748
TECTA,26,14,0.5384615384615384,0.6637903
DOCK5,31,14,0.45161290322580644,0.52031285
PTPN3,14,13,0.9285714285714286,0.852275
FREM2,15,13,0.8666666666666667,0.855579
NME8,15,13,0.8666666666666667,0.8890807
OR5D13,15,13,0.8666666666666667,0.87902427
SAMD9,15,13,0.8666666666666667,0.8825697
TRPV6,15,13,0.8666666666666667,0.8997552
CALN1,16,13,0.8125,0.82976955
EXPH5,16,13,0.8125,0.87973964
GALNT17,16,13,0.8125,0.8714392
GRIN2B,17,13,0.7647058823529411,0.8095078
ITPR3,17,13,0.7647058823529411,0.7741451
MECOM,17,13,0.7647058823529411,0.74136895
NLRP7,18,13,0.7222222222222222,0.8005075
SCN10A,19,13,0.6842105263157895,0.7480896
SETD2,19,13,0.6842105263157895,0.70861065
NLRP12,20,13,0.65,0.6748917
PTPRT,20,13,0.65,0.7688526
MUC5B,21,13,0.6190476190476191,0.6118605
NLRP4,21,13,0.6190476190476191,0.7116635
PRDM9,21,13,0.6190476190476191,0.7397465
CENPF,22,13,0.5909090909090909,0.6213489
XIRP2,27,13,0.48148148148148145,0.6440885
RYR3,29,13,0.4482758620689655,0.5425188
NLRP13,13,12,0.9230769230769231,0.8966836
CALCR,15,12,0.8,0.7779154
COL11A1,15,12,0.8,0.8176087
F8,15,12,0.8,0.80061287
MYH11,15,12,0.8,0.8319833
ADAM29,16,12,0.75,0.7771836
F5,16,12,0.75,0.7282455
ZNF208,16,12,0.75,0.73732996
CASR,17,12,0.7058823529411765,0.76811904
KEL,17,12,0.7058823529411765,0.7767011
POM121L12,17,12,0.7058823529411765,0.7044461
SPEG,17,12,0.7058823529411765,0.72907096
BRCA2,18,12,0.6666666666666666,0.68917423
HECTD4,18,12,0.6666666666666666,0.69144017
PCDHB7,18,12,0.6666666666666666,0.78951573
GRM8,19,12,0.631578947368421,0.69012284
HECW1,19,12,0.631578947368421,0.69788307
KIAA1109,19,12,0.631578947368421,0.7128267
C3,20,12,0.6,0.65400356
CDH18,20,12,0.6,0.68186986
TENM1,20,12,0.6,0.6631944
TRPM6,20,12,0.6,0.68227756
NOS1,22,12,0.5454545454545454,0.60493386
SCN9A,22,12,0.5454545454545454,0.632132
DNAH9,24,12,0.5,0.6696665
SLIT3,24,12,0.5,0.585753
LRP1B,26,12,0.46153846153846156,0.5707942
DNAH10,27,12,0.4444444444444444,0.46236742
TMEM132D,28,12,0.42857142857142855,0.521092
CR2,12,11,0.9166666666666666,0.9066768
OR5H2,12,11,0.9166666666666666,0.872361
TRPV5,12,11,0.9166666666666666,0.9383221
ABCB5,13,11,0.8461538461538461,0.84823924
FRMPD4,13,11,0.8461538461538461,0.79791486
NIPBL,13,11,0.8461538461538461,0.8867522
PCDH19,13,11,0.8461538461538461,0.8125639
PCDHA13,13,11,0.8461538461538461,0.87072337
ZNF493,13,11,0.8461538461538461,0.79937655
CDK5RAP2,14,11,0.7857142857142857,0.7714333
COL12A1,14,11,0.7857142857142857,0.8015469
ERICH3,14,11,0.7857142857142857,0.8305146
PTPRN2,14,11,0.7857142857142857,0.78896314
TAF1,14,11,0.7857142857142857,0.7709976
ZNF462,14,11,0.7857142857142857,0.7973428
CARD6,15,11,0.7333333333333333,0.7460593
ADAMTS16,16,11,0.6875,0.71917963
DYNC1H1,16,11,0.6875,0.68903583
EPB41L3,16,11,0.6875,0.7729011
RNF17,16,11,0.6875,0.6769041
ATR,17,11,0.6470588235294118,0.6537917
UGGT1,17,11,0.6470588235294118,0.7277561
ABCC9,18,11,0.6111111111111112,0.7204671
ANK1,18,11,0.6111111111111112,0.6780141
HSPG2,18,11,0.6111111111111112,0.71312374
KIF16B,18,11,0.6111111111111112,0.82087064
PKHD1L1,18,11,0.6111111111111112,0.6514465
FLG2,19,11,0.5789473684210527,0.70632094
RESF1,19,11,0.5789473684210527,0.6621278
HRNR,20,11,0.55,0.65296525
QSER1,20,11,0.55,0.63940537
USP9X,21,11,0.5238095238095238,0.50422055
TENM3,22,11,0.5,0.540594
VWF,23,11,0.4782608695652174,0.64034253
DOCK8,24,11,0.4583333333333333,0.5154534
EP400,25,11,0.44,0.57751954
MXRA5,25,11,0.44,0.48133165
HCN1,26,11,0.4230769230769231,0.49810278
ACAD10,10,10,1.0,0.9511458
CPNE8,10,10,1.0,0.9570476
LPA,10,10,1.0,0.9333049
SPATA31D1,11,10,0.9090909090909091,0.8548767
TTC21A,11,10,0.9090909090909091,0.8443977
URGCP,11,10,0.9090909090909091,0.88205963
ADCY1,12,10,0.8333333333333334,0.81226414
CNTN6,12,10,0.8333333333333334,0.87164813
CYP4F22,12,10,0.8333333333333334,0.83370274
UBE3C,12,10,0.8333333333333334,0.8145523
ABCA1,13,10,0.7692307692307693,0.7940285
CLCN1,13,10,0.7692307692307693,0.80666023
CPAMD8,13,10,0.7692307692307693,0.7561074
ENPP2,13,10,0.7692307692307693,0.82160985
OR5W2,13,10,0.7692307692307693,0.7588608
PREX1,13,10,0.7692307692307693,0.7958066
RFX6,13,10,0.7692307692307693,0.83966696
CAMTA1,14,10,0.7142857142857143,0.7996868
DENND2C,14,10,0.7142857142857143,0.7325633
FBN3,14,10,0.7142857142857143,0.7027446
MYH8,14,10,0.7142857142857143,0.7168872
NLRP2,14,10,0.7142857142857143,0.79274255
PEG3,14,10,0.7142857142857143,0.70962316
ABCA13,15,10,0.6666666666666666,0.6904373
EPHA8,15,10,0.6666666666666666,0.6654752
SRRM2,15,10,0.6666666666666666,0.73098963
ALPK2,16,10,0.625,0.753018
CACNA2D1,16,10,0.625,0.7048882
CMYA5,16,10,0.625,0.72384423
DSG4,16,10,0.625,0.69785386
GLI3,16,10,0.625,0.71389914
ITPR2,16,10,0.625,0.73254716
LRP1,16,10,0.625,0.6889839
SPATA31A1,16,10,0.625,0.6797008
ELMO1,17,10,0.5882352941176471,0.7103257
ENPEP,17,10,0.5882352941176471,0.6809852
FBN1,17,10,0.5882352941176471,0.6873135
NLRP3,17,10,0.5882352941176471,0.62369597
TSHZ2,17,10,0.5882352941176471,0.68503606
ZFP42,17,10,0.5882352941176471,0.665557
ABCC5,18,10,0.5555555555555556,0.6234762
BIRC6,18,10,0.5555555555555556,0.57211536
ITGAD,18,10,0.5555555555555556,0.57020646
CACNA1S,19,10,0.5263157894736842,0.70296717
MYH2,20,10,0.5,0.58287215
PCDHA1,20,10,0.5,0.6076772
PDGFRA,20,10,0.5,0.58981806
DNAH17,21,10,0.47619047619047616,0.5541108
DMD,25,10,0.4,0.46002662
CHD1,9,9,1.0,0.9527681
TPTE,9,9,1.0,0.9668844
VPS50,9,9,1.0,0.96929425
ZPBP,9,9,1.0,0.95978194
ANO3,10,9,0.9,0.9054821
AREL1,10,9,0.9,0.84980696
CDK13,10,9,0.9,0.9189188
COL28A1,10,9,0.9,0.8810889
FAM120B,10,9,0.9,0.8865932
FANCD2,10,9,0.9,0.8941107
LDLR,10,9,0.9,0.9005128
MED13L,10,9,0.9,0.9017922
PON1,10,9,0.9,0.87303364
PTPRZ1,10,9,0.9,0.9387382
RAB3GAP2,10,9,0.9,0.8541047
SEPTIN4,10,9,0.9,0.8653787
TDRD7,10,9,0.9,0.8614168
ADAMTS2,11,9,0.8181818181818182,0.85349256
AMPD1,11,9,0.8181818181818182,0.86535305
AOC1,11,9,0.8181818181818182,0.7833032
CNTNAP1,11,9,0.8181818181818182,0.84189206
GEMIN5,11,9,0.8181818181818182,0.7828026
LARP1,11,9,0.8181818181818182,0.79288954
MAP1B,11,9,0.8181818181818182,0.90646535
NLRP11,11,9,0.8181818181818182,0.80399114
SLC6A18,11,9,0.8181818181818182,0.8068548
TRPM3,11,9,0.8181818181818182,0.8712763
AFM,12,9,0.75,0.7473503
ARHGAP21,12,9,0.75,0.7545762
CENPE,12,9,0.75,0.753098
COBL,12,9,0.75,0.81888145
COL24A1,12,9,0.75,0.76610154
KALRN,12,9,0.75,0.7542746
KIAA1210,12,9,0.75,0.72100335
KLK15,12,9,0.75,0.7292188
NRXN3,12,9,0.75,0.71985435
PDE1C,12,9,0.75,0.819004
PTPN11,12,9,0.75,0.80798894
SAMD9L,12,9,0.75,0.76159316
SBNO1,12,9,0.75,0.79853797
SLC5A7,12,9,0.75,0.7383755
UTRN,12,9,0.75,0.7357293
CNTN1,13,9,0.6923076923076923,0.74372005
CUBN,13,9,0.6923076923076923,0.6650903
LRBA,13,9,0.6923076923076923,0.72417533
PCDHB15,13,9,0.6923076923076923,0.8134292
PREX2,13,9,0.6923076923076923,0.75704914
SALL4,13,9,0.6923076923076923,0.74645174
VAV1,13,9,0.6923076923076923,0.76534814
ANO4,14,9,0.6428571428571429,0.7781497
ASH1L,14,9,0.6428571428571429,0.7901872
CFTR,14,9,0.6428571428571429,0.6705862
LY75,14,9,0.6428571428571429,0.71178925
MC3R,14,9,0.6428571428571429,0.8015035
MYO3A,14,9,0.6428571428571429,0.64738846
MYOCD,14,9,0.6428571428571429,0.63924646
SLC9A4,14,9,0.6428571428571429,0.7362481
SVEP1,14,9,0.6428571428571429,0.65906286
UGT3A2,14,9,0.6428571428571429,0.6975736
WDFY3,14,9,0.6428571428571429,0.68651885
CACNA1B,15,9,0.6,0.6463295
CIT,15,9,0.6,0.76645195
