source_maf,rows_total,snv_rows_kept
00326327-8da5-4226-a894-2e4e1d5acd45.maf.gz,58,57
004897bf-5189-4d09-baa3-d45cdde4985a.maf.gz,55,49
009b4458-4158-41ef-816f-ed7e4eecba48.maf.gz,54,53
00a6589b-6c02-4b41-b363-fb5e7151675b.maf.gz,29,27
00c046a5-b243-4f40-b107-bcd1c07d0918.maf.gz,13,13
010427c5-94f5-4ba9-a77b-a480823733bd.maf.gz,59,55
01ca413a-63ae-4017-935c-a58195e73eea.maf.gz,40,36
0240d7a1-a06c-4647-879f-1441b64b4dd3.maf.gz,41,39
029fde2a-49ec-4047-9289-1a699b687b08.maf.gz,25,25
03dfb83a-f803-4380-8681-b3ebc2ffee29.maf.gz,32,28
0480797d-1ce6-46e4-8f27-b24c9597a052.maf.gz,107,100
0493f571-b732-4f33-9c57-b9b5762e7da1.maf.gz,55,52
04acaaaf-3c93-4014-afcb-741e5252b563.maf.gz,64,61
0507efd4-0190-4a86-a47c-9c9b724505d5.maf.gz,60,55
06328477-271c-466a-8f9b-ca227b31ce1b.maf.gz,48,44
0632d63a-1b51-434a-a074-a500e46c1859.maf.gz,95,86
06dd167b-3334-453e-a63f-dcd0f2c2e22a.maf.gz,49,46
07dd1a69-3283-4bd1-9ce6-c2709c80fd51.maf.gz,49,45
097a9469-48c7-477a-a769-cda7ff93271e.maf.gz,64,61
0bc5b7e8-ccfc-4d56-ab3b-12c25ed87754.maf.gz,75,73
0c36c15e-7a32-4d95-ae89-c35f4392a7d5.maf.gz,33,31
0c978002-6e44-491b-beaf-f1b87e6c2c1b.maf.gz,32,31
0d260c80-8a19-4d48-8ee1-6a4fb233d3bf.maf.gz,66,61
0d8a690c-503b-4db2-9c6d-129a12001917.maf.gz,68,66
0ddb96f5-835f-4653-be32-7272a248e00a.maf.gz,77,75
0e160d5a-1896-4bc3-89be-02550078b262.maf.gz,68,66
10b81151-18ef-4fb8-bc25-712e8b2943ad.maf.gz,3,3
10c42f7f-29aa-4e20-ba4a-b19d807ef40e.maf.gz,39,38
12ebb080-e96e-4145-a1c6-91df8bf6cb45.maf.gz,93,70
1307df0a-7e36-48c5-9bcc-5dd809293e30.maf.gz,152,108
13977324-1ded-4b06-8b6f-5605742d8d8d.maf.gz,39,37
146b341d-06f3-41b4-90c5-aece9556c240.maf.gz,103,100
147d062c-734c-4c7e-aa89-44881e425946.maf.gz,62,58
14824f7a-b8c6-4f81-9bd9-8068e4e1314d.maf.gz,54,53
14df70c2-824d-4767-8494-6675039f582c.maf.gz,51,48
14df9543-c061-4b33-aa2e-280cce4fe511.maf.gz,79,77
1560add0-ce57-46e5-b923-6622904f5b39.maf.gz,40,39
16a12858-dcc6-4b9d-86c8-08118dc6171d.maf.gz,68,66
178c6e9c-d5d9-42fb-b91a-ac6f83acafaa.maf.gz,51,50
17a8ed39-c0a6-4d80-a860-e129421a0f07.maf.gz,51,49
1854ea18-b3b5-4142-8161-e89c1e1f0e7d.maf.gz,1,1
192041a9-6ff6-4e10-94c8-12a31849a790.maf.gz,310,280
19b1ff0f-51f4-4719-9a05-532424ed9dcf.maf.gz,68,67
1a007aab-6c65-4cbc-8ffb-9385e91a4e78.maf.gz,79,78
1a873714-42c9-4cc4-88a7-6016f4cfa0e2.maf.gz,8107,8058
1a93ab83-8ce8-4a84-97d2-b7e365fcc227.maf.gz,48,45
1ab603d6-2f35-40c1-97db-6203398dfcda.maf.gz,36,32
1b5d8814-b944-4f6a-8258-1c6a4c49ba10.maf.gz,29,27
1b66b4e6-95bd-43f7-a45d-84e0b2a1e8a0.maf.gz,87,84
1b777c6b-074a-4d01-bd19-7dfe0b41a7c0.maf.gz,42,35
1b90129c-ac92-4f74-986b-6a1dc23c0c83.maf.gz,45,42
1be61e71-4eca-4251-84d1-b5eea0c61be0.maf.gz,82,79
1c129614-48ae-4bb6-904e-0ac64b39ea4a.maf.gz,67,45
1cf9d9a0-15c4-4809-adc8-d99a470cd01c.maf.gz,70,69
1e568cb0-e725-4d4b-9e11-e2c4aabe6ebe.maf.gz,56,55
1e9d3a4f-b9dd-4d02-94e5-d57ad695fed6.maf.gz,38,35
1eb430a9-c5ba-43f4-86fa-ff4db1241c85.maf.gz,85,56
1edcb635-0ddc-4276-b043-50b45971240b.maf.gz,52,49
1efae7be-1c7a-40ea-a620-e7d2851b35ce.maf.gz,44,43
210ed92f-448c-4b67-942d-c9c41d7ced06.maf.gz,645,598
21ae3762-ea7b-4b65-adc3-11f8f6406d83.maf.gz,55,55
2242451e-9382-43ad-916d-1ed9690e4130.maf.gz,55,51
22c8a8fd-ea19-4021-abd0-892391e3c70d.maf.gz,46,42
23d5c028-39f9-4bb5-8c18-377439391823.maf.gz,39,37
25ae6f57-797a-4fdd-a293-dc0efa1db330.maf.gz,54,52
26511721-713f-4f7d-bcf2-0045a2d6f5a2.maf.gz,43,40
26a5a0b2-cf81-404b-a266-3fcff784336e.maf.gz,75,74
26c6704d-5e59-466d-b324-b4bc239794a8.maf.gz,37,37
26f70d72-362e-451f-a363-20aa0180af66.maf.gz,67,63
27339583-7def-4e33-a49e-f1fb4708f427.maf.gz,65,63
27aa82e2-0a8c-43c0-bc89-9f071cce278c.maf.gz,55,53
29ee4dcc-2384-4803-8b68-3d6c43721a72.maf.gz,64,63
2a055c39-d774-46eb-8377-8ebc4d53632c.maf.gz,64,60
2c443cf0-f68e-475c-b068-468b8373ec05.maf.gz,91,85
2df12676-9f01-4c6f-ab71-bc0361ded3f9.maf.gz,37,36
2e2bc46b-82c5-449d-bffc-241bd9899ed5.maf.gz,69,63
300211d2-44ab-4a79-a26f-95f05bf4c1a4.maf.gz,88,65
300bbdde-ec44-4e36-90f3-af22a109e3f5.maf.gz,15,15
321d0b53-2d86-489f-b3c5-445850aa12f8.maf.gz,87,80
322b687e-d4fa-4487-b59e-463c87d336f4.maf.gz,65,64
3264085f-1be7-4919-bfb2-e41ef256286c.maf.gz,15,15
3276f8ba-625d-44a2-9342-3ae895c1c80b.maf.gz,112,72
330520f8-dc9f-43d5-aad1-4268d9aad144.maf.gz,84,79
33485a89-8af0-43d6-b627-264ac90b9bb9.maf.gz,98,95
33952b8e-74d7-483c-b84b-4b71a9cc586c.maf.gz,32,30
35275073-7f36-49eb-876d-8fcf581378d7.maf.gz,34,33
35d63751-7306-4f81-83ff-2d5c37d6ee12.maf.gz,98,90
36ad595b-6ee6-4ee4-b4fe-17dac6149f7a.maf.gz,32,29
379d8213-27fa-47d5-a361-c88ea3249220.maf.gz,59,50
381258bf-7787-44fa-ae9c-a764e625d768.maf.gz,98,94
388b3879-6f72-43e3-b4a5-19309808fbe4.maf.gz,74,73
38c3188d-6a13-404e-8c41-0f11ff3a8fe3.maf.gz,87,83
39bc8e0a-7e9d-4d5e-b0cc-3c3a5d3cba6d.maf.gz,59,57
3a155b4a-5656-4626-b84b-3840d60bc08c.maf.gz,75,73
3a9008c6-a4f6-4893-9c12-3d798a1a0d27.maf.gz,63,62
3a922b8a-c15a-4623-814a-e54ede09339c.maf.gz,85,85
3aff228f-7ce7-42bc-a0a8-bb1e6279d16f.maf.gz,94,58
3b3fe35e-dca3-4690-bb70-e26e15bf4b42.maf.gz,63,61
3b47c841-0c15-4866-9c88-7935b4768f29.maf.gz,52,50
3b7c651c-4c61-4e55-a2ec-9750b2b8b3ad.maf.gz,92,87
3ba7d3a9-8984-4c85-8d76-a6ded3a78223.maf.gz,63,60
3dfcf466-38aa-4c8f-beae-e4eba6cfa4ca.maf.gz,76,72
3dffde20-6af0-47b0-9ff1-dbe52d973174.maf.gz,59,57
3e46c7ee-20a0-4555-8a69-efa59d673b72.maf.gz,61,60
3ee7bf22-d609-484f-a270-435e7a910cea.maf.gz,72,71
3f70a963-4852-4ee0-87e4-71046603b63d.maf.gz,24,23
4000d8fa-3f11-4a3e-9eff-8a020db39ecf.maf.gz,18,16
41ef6378-0647-4574-a255-600e7355e402.maf.gz,47,47
421c309b-8906-4896-9d3c-6fc4aca2cdb6.maf.gz,73,72
43253774-95e8-4967-983e-6c6500ea219b.maf.gz,63,62
443c35d7-e199-49d8-b2f7-2e0e4fc2eb9a.maf.gz,69,44
444e14e0-a6fd-494e-bbcd-22dc1c676158.maf.gz,58,55
45ba29c4-93cb-4a31-9994-956f0e209f7c.maf.gz,70,69
470d22dd-b96f-451c-942c-0d873f5ecbcf.maf.gz,81,79
47fdbeba-e2db-4645-96fc-a344e8b45f60.maf.gz,46,45
487c7329-c5ca-4921-954a-5347082144b4.maf.gz,32,29
48fc7957-a80c-484e-a1af-f6ac751a870a.maf.gz,53,53
490001eb-233e-4f34-a1a9-85c7f1d2c5b0.maf.gz,20,20
495ce163-b509-443b-b0f9-5c8881d7adcc.maf.gz,59,56
49d88609-b367-478a-a30d-b1a68be69027.maf.gz,53,53
4b1abb13-ebed-4ced-9ccb-b967a30136f9.maf.gz,47,44
4b3337f8-7d53-455e-afe3-5a0f6378150d.maf.gz,41,37
4b53a053-6f6f-4af2-a1ef-24f78cf00bd6.maf.gz,71,69
4bc11add-ec18-4fc3-a77c-7a380e63d12f.maf.gz,51,48
4bdd25b1-f5b8-4b6b-8acd-d44154ae44bf.maf.gz,90,86
4c1a7bd3-c494-4c79-acc1-9bab05524d9c.maf.gz,35,34
4c74c4aa-bae0-47e8-afc8-7fce4b2ed72b.maf.gz,62,60
4cc566d5-6edd-4b05-a283-96ba8aebaaf9.maf.gz,54,45
4d84afad-3610-4dbf-935e-7e2af10887ae.maf.gz,100,95
4d9c992e-858c-4635-9bfd-6c8cfa499e87.maf.gz,67,64
4dae418b-0691-429a-9f78-56b52c812c2e.maf.gz,57,56
4de58545-568a-4f9b-ae77-c9a5b9bc6161.maf.gz,75,70
4ebacb5d-3778-4923-b871-b1ce7a849bdf.maf.gz,56,55
4f118894-652d-4ba4-b109-60e741dffc8b.maf.gz,55,50
4f4c30a2-cc49-4993-b861-8a1c3c38020f.maf.gz,1167,1162
4fb5d2c0-4c3b-4f6b-ace9-6fb918623a8e.maf.gz,61,59
5051a15b-c08f-43ae-8b2d-e1f41b74a5a2.maf.gz,60,59
52120fe0-d881-4d57-a0d0-904792697462.maf.gz,68,46
523e6728-6954-4f10-9ca3-2beb93a00eaa.maf.gz,62,59
5287d32b-dccd-4e98-8bd8-cfb2db0e1149.maf.gz,62,60
52d7f132-edd2-4592-81af-7c638a01b49b.maf.gz,44,38
531e9f35-4b1d-43b3-abbf-9f055996a733.maf.gz,39,38
5442f31d-8273-4f6c-aa47-72b5b0cbb198.maf.gz,52,50
5466be78-b711-4c31-b2ca-913ffe75fbf2.maf.gz,70,68
548fcdcc-9713-4fc5-b91c-19971426cb12.maf.gz,45,39
54904499-a62d-4501-a4ea-044340a35284.maf.gz,110,107
549673a1-ffd5-4018-8c3d-1da6cada340e.maf.gz,52,48
550e98a3-df48-47a7-8e28-d652ba87f796.maf.gz,51,47
55a52a05-a004-49d1-8518-f93777499ea1.maf.gz,68,65
5658815c-0a91-42cd-9b3e-b88765db50ed.maf.gz,71,53
56cd0c03-cc81-402f-b725-034f0906e116.maf.gz,58,56
56dd93b9-a8db-4b37-9a09-35a977fc6636.maf.gz,56,51
574b1c64-de0a-43f8-82fa-50722ef99c7e.maf.gz,97,96
5971903c-b88a-4848-bd4a-47ed0347e8a3.maf.gz,92,89
59cf743e-2e9d-4828-ba83-3bbf1e230962.maf.gz,48,48
5a6289cb-5343-41ad-a992-05a5e3314a0a.maf.gz,68,66
5aaa6f2e-d192-4b5d-afb4-e60bfa0c64e8.maf.gz,75,72
5c54653d-200f-43c1-bdf9-44cdc687ab57.maf.gz,64,63
5ce1ed90-035b-4289-a7e2-e23b7ec571d5.maf.gz,52,47
5d0799f7-43b6-4321-93bd-313fde9f010f.maf.gz,357,352
5dadaf79-98f2-45ed-a944-62df84b9ce8f.maf.gz,43,41
5f2ab765-06a8-4071-abdd-43955592a655.maf.gz,70,63
60ba3a2b-e2b1-4fd2-9511-fba63245639f.maf.gz,60,55
60be0185-e60d-4d88-b7d5-e1ba22ef928a.maf.gz,55,55
615a2810-bb54-4bac-834e-4a07ed36e1bc.maf.gz,53,52
6168b1f3-8ebc-464d-af0c-01e85c82c96b.maf.gz,59,58
6169a6ba-4f56-427e-845b-b3ced5ae150d.maf.gz,33,30
61f9881e-d373-48b0-b1bf-dada749fa2f8.maf.gz,49,46
62738274-1ebe-463d-806f-f472c4d08293.maf.gz,55,54
637c1b5f-db7e-4784-a469-2482a2466874.maf.gz,84,81
63a8bde0-97ff-4baa-8cc5-96a3ee8d913a.maf.gz,63,59
63fbb9a5-d153-48d0-8be9-60db3c39e595.maf.gz,35,35
646aef9e-a618-43e7-8b1e-277cda66efac.maf.gz,40,39
660ecea7-71bd-41af-9004-98a2a14785c6.maf.gz,63,60
6687e812-0842-4985-aaec-25be8f0582f4.maf.gz,77,69
66b08835-b79f-480b-a475-1f0d23d01217.maf.gz,74,70
6727a27f-b9fd-4c23-848c-23acd50c9724.maf.gz,102,99
6751daba-2b0f-418a-b1eb-58fd9330369e.maf.gz,52,48
67fe3e80-70c3-4452-a3d7-0851e010ed9e.maf.gz,67,60
687c664e-9f6c-42e3-98c3-12d9010675bd.maf.gz,15,15
690a5936-5f30-48b6-b9c9-6e192aa414d7.maf.gz,37,36
6a15ce9c-18d5-479f-b0d7-ad313c68741f.maf.gz,62,59
6b46c429-8a24-4156-ba12-66d592b83c97.maf.gz,58,57
6b5d4411-63ed-42dd-95fa-cd55b7c168ce.maf.gz,71,68
6bdda52a-52a2-4147-bd6f-f7c86ede2a88.maf.gz,65,57
6e407da3-12c4-4fe6-80cc-d213a72088cb.maf.gz,21,20
6e454eca-1765-45b7-be47-89ed656717ee.maf.gz,51,50
6e8dd681-42b0-4569-91b0-2b7da64845fa.maf.gz,63,61
6f560343-1ad3-4e32-a581-a6871b6fa612.maf.gz,60,55
6fd169e5-a79b-405f-8c4e-b20a03d8a4a9.maf.gz,47,47
70102d73-26b4-4978-92e1-9dc84b20e115.maf.gz,121,119
704eff30-2fa2-4e1d-a547-30558683e9b0.maf.gz,65,55
7087c9cf-3f02-4823-b7fe-f40e5ae84cad.maf.gz,55,51
70bc66e7-bb86-4c9c-93ad-e8c3b91477e3.maf.gz,52,51
712ed64e-c763-4741-8fdc-a0b0f5c542fe.maf.gz,70,69
71fc7244-33c9-4e24-b9f7-cb5a68449298.maf.gz,29,27
7296556a-d904-4a9f-a863-040e36379fb1.maf.gz,74,70
73fe0425-d669-4f44-b1f5-7724049331d5.maf.gz,43,41
74551f2b-cd10-4434-816f-49ab375e930e.maf.gz,80,68
75b37359-9796-4291-bfb0-5dcd60fabb7c.maf.gz,102,91
7682e0ce-e404-4c3e-acd2-126d5c7f57e9.maf.gz,50,49
768ad713-cad3-4fbf-84b6-41974aabb872.maf.gz,80,77
76aba3c0-a81a-4f85-abe9-e02484fdf857.maf.gz,38,38
