Tumor_Sample_Barcode,n_variants,n_predicted_artifacts,artifact_rate,mean_probability
TCGA-06-5416-01A-01D-1486-08,15171,9517,0.6273152725594885,0.68779147
TCGA-19-5956-01A-11D-1696-08,8058,4732,0.5872424919334822,0.6351107
TCGA-32-2616-01A-01D-1495-08,1162,602,0.5180722891566265,0.614423
TCGA-32-2616-01A-01W-0922-08,676,325,0.4807692307692308,0.55121326
TCGA-16-0848-01A-01D-1492-08,352,200,0.5681818181818182,0.651329
TCGA-19-1787-01B-01D-1495-08,655,152,0.23206106870229007,0.24984324
TCGA-16-0848-01A-01W-0424-08,280,141,0.5035714285714286,0.5775571
TCGA-19-1787-01B-01W-0922-08,598,133,0.22240802675585283,0.24244754
TCGA-14-1795-01A-01W-0643-08,196,120,0.6122448979591837,0.6270336
TCGA-14-1396-01A-01W-0611-08,187,112,0.5989304812834224,0.6459461
TCGA-19-0957-02A-11D-2280-08,121,101,0.8347107438016529,0.84411436
TCGA-12-0829-01A-01W-0424-08,152,89,0.5855263157894737,0.63944376
TCGA-32-1982-01A-01W-0837-08,106,78,0.7358490566037735,0.74353004
TCGA-76-4928-01B-01D-1486-08,80,77,0.9625,0.9430399
TCGA-28-2513-01A-01W-0837-08,86,77,0.8953488372093024,0.8920006
TCGA-19-4065-02A-11D-2280-08,99,77,0.7777777777777778,0.79639024
TCGA-12-3651-01A-01W-0922-08,97,76,0.7835051546391752,0.78936774
TCGA-12-0775-01A-01W-0348-08,112,76,0.6785714285714286,0.7431148
TCGA-26-6174-01A-21D-1845-08,88,75,0.8522727272727273,0.8713693
TCGA-19-2620-01A-01W-0922-08,109,75,0.6880733944954128,0.7278853
TCGA-28-2513-01A-01D-1494-08,76,73,0.9605263157894737,0.9451533
TCGA-74-6575-01A-11D-1845-08,90,71,0.7888888888888889,0.79631084
TCGA-06-0649-01B-01D-1492-08,94,71,0.7553191489361702,0.776673
TCGA-32-1982-01A-01D-1494-08,79,69,0.8734177215189873,0.86352724
TCGA-19-1790-01B-01D-1353-08,80,68,0.85,0.83031607
TCGA-06-0881-01A-02W-0424-08,93,68,0.7311827956989247,0.7742611
TCGA-06-0125-02A-11D-2280-08,78,67,0.8589743589743589,0.85371417
TCGA-06-0190-02A-01D-2280-08,99,67,0.6767676767676768,0.7090717
TCGA-41-3393-01A-01D-1353-08,73,64,0.8767123287671232,0.8657786
TCGA-27-1831-01A-01W-0837-08,91,64,0.7032967032967034,0.76869094
TCGA-14-0789-01A-01D-1492-08,70,63,0.9,0.8952784
TCGA-32-1977-01A-01D-1353-08,70,63,0.9,0.8964307
TCGA-32-2632-01A-01D-1495-08,89,63,0.7078651685393258,0.7401968
TCGA-16-1045-01B-01D-1492-08,81,62,0.7654320987654321,0.80770844
