level,group,threshold,n_variants,n_predicted_artifact,artifact_fraction,median_rep_error_probability,mean_rep_error_probability
overall,all,0.75,53164,30177,0.5676209465051538,0.8819784,0.6316268240119874
sample,TCGA-02-0003-01A-01D-1490-08,0.75,47,12,0.2553191489361702,0.27830914,0.4066522053494061
sample,TCGA-02-0033-01A-01D-1490-08,0.75,33,28,0.8484848484848485,0.99074835,0.8531908820390246
sample,TCGA-02-0047-01A-01D-1490-08,0.75,64,46,0.71875,0.9345979200000001,0.7689352917342895
sample,TCGA-02-0055-01A-01D-1490-08,0.75,53,37,0.6981132075471698,0.94349647,0.7095982938478818
sample,TCGA-02-2466-01A-01W-0837-08,0.75,85,47,0.5529411764705883,0.8618089,0.5756677556190456
sample,TCGA-02-2470-01A-01D-1494-08,0.75,57,45,0.7894736842105263,0.9855055,0.7804125363721085
sample,TCGA-02-2470-01A-01W-0837-08,0.75,81,58,0.7160493827160493,0.9656574,0.7629846990439072
sample,TCGA-02-2483-01A-01D-1494-08,0.75,49,26,0.5306122448979592,0.77863276,0.6500533502026634
sample,TCGA-02-2485-01A-01D-1494-08,0.75,55,21,0.38181818181818183,0.44921592,0.5026723444748689
sample,TCGA-02-2485-01A-01W-0837-08,0.75,60,24,0.4,0.632941435,0.5359187961825159
sample,TCGA-02-2486-01A-01D-1494-08,0.75,59,38,0.6440677966101694,0.8882204,0.7142876179269715
sample,TCGA-02-2486-01A-01W-0837-08,0.75,69,42,0.6086956521739131,0.86057466,0.6960875058714795
sample,TCGA-06-0119-01A-08D-1490-08,0.75,69,55,0.7971014492753623,0.9768562,0.8127986035109032
sample,TCGA-06-0122-01A-01D-1490-08,0.75,84,56,0.6666666666666666,0.9245740499999999,0.7357244424909488
sample,TCGA-06-0124-01A-01D-1490-08,0.75,62,56,0.9032258064516129,0.97078,0.8622305819489079
sample,TCGA-06-0125-01A-01D-1490-08,0.75,62,28,0.45161290322580644,0.5247510950000001,0.5457310786339775
sample,TCGA-06-0125-02A-11D-2280-08,0.75,78,67,0.8589743589743589,0.9756265,0.8537142056011626
sample,TCGA-06-0126-01A-01D-1490-08,0.75,55,28,0.509090909090909,0.7647225,0.6607633066012455
sample,TCGA-06-0128-01A-01D-1490-08,0.75,51,29,0.5686274509803921,0.86123914,0.6627857132217694
sample,TCGA-06-0129-01A-01D-1490-08,0.75,35,21,0.6,0.94051945,0.6303983536134276
sample,TCGA-06-0130-01A-01D-1490-08,0.75,27,24,0.8888888888888888,0.98656833,0.8849813858966918
sample,TCGA-06-0132-01A-02D-1491-08,0.75,23,22,0.9565217391304348,0.9895231,0.9543619652173914
sample,TCGA-06-0137-01A-01D-1490-08,0.75,77,25,0.3246753246753247,0.4304851,0.46591672103116927
sample,TCGA-06-0139-01A-01D-1490-08,0.75,3,2,0.6666666666666666,0.8744681,0.6024349667818666
sample,TCGA-06-0140-01A-01D-1490-08,0.75,38,27,0.7105263157894737,0.97435565,0.7404541508974849
sample,TCGA-06-0141-01A-01D-1490-08,0.75,15,13,0.8666666666666667,0.9349958,0.8634792633333334
sample,TCGA-06-0145-01A-01D-1490-08,0.75,91,34,0.37362637362637363,0.56976205,0.5416337085071262
sample,TCGA-06-0145-01A-01W-0224-08,0.75,107,59,0.5514018691588785,0.82488114,0.5979952965074703
sample,TCGA-06-0151-01A-01D-1491-08,0.75,17,15,0.8823529411764706,0.9708189,0.8420570123109559
sample,TCGA-06-0152-01A-02D-1492-08,0.75,54,31,0.5740740740740741,0.8491519000000001,0.6537648387547018
sample,TCGA-06-0152-01A-02W-0323-08,0.75,45,20,0.4444444444444444,0.60059655,0.5479567882910101
sample,TCGA-06-0152-02A-01D-2280-08,0.75,63,38,0.6031746031746031,0.87061745,0.6445757198798542
sample,TCGA-06-0154-01A-03D-1491-08,0.75,56,41,0.7321428571428571,0.9217648,0.7314897998627029
sample,TCGA-06-0155-01B-01D-1492-08,0.75,70,34,0.4857142857142857,0.73815215,0.6510543103301678
sample,TCGA-06-0157-01A-01D-1491-08,0.75,51,23,0.45098039215686275,0.69577694,0.5760167788992772
sample,TCGA-06-0158-01A-01D-1491-08,0.75,54,31,0.5740740740740741,0.8403439,0.6936074118696873
sample,TCGA-06-0166-01A-01D-1491-08,0.75,40,31,0.775,0.9610280499999999,0.7549637778572291
sample,TCGA-06-0168-01A-01D-1491-08,0.75,42,33,0.7857142857142857,0.9328033499999999,0.763763442549744
sample,TCGA-06-0169-01A-01D-1490-08,0.75,48,45,0.9375,0.98378082,0.9347204552083334
sample,TCGA-06-0171-01A-02D-1491-08,0.75,47,40,0.851063829787234,0.96158546,0.8434034354619488
sample,TCGA-06-0171-02A-11D-2280-08,0.75,34,29,0.8529411764705882,0.96032915,0.8117571604632118
sample,TCGA-06-0173-01A-01D-1491-08,0.75,77,38,0.4935064935064935,0.7319601,0.6173534835121252
