Tumor_Sample_Barcode,n_variants,n_predicted_artifacts,artifact_rate,mean_probability
TCGA-06-5416-01A-01D-1486-08,15171,1812,0.11943840221475183,0.23538724
TCGA-19-5956-01A-11D-1696-08,8058,644,0.07992057582526682,0.21676385
TCGA-32-2616-01A-01D-1495-08,1162,29,0.02495697074010327,0.063189514
TCGA-28-2513-01A-01W-0837-08,86,21,0.2441860465116279,0.39359644
TCGA-19-4065-02A-11D-2280-08,99,20,0.20202020202020202,0.37054405
TCGA-06-0210-01B-01D-1491-08,60,18,0.3,0.5208365
TCGA-32-2616-01A-01W-0922-08,676,18,0.026627218934911243,0.070156775
TCGA-28-5213-01A-01D-1486-08,53,14,0.2641509433962264,0.42986217
TCGA-19-5955-01A-11D-1696-08,66,14,0.21212121212121213,0.5075477
TCGA-14-1795-01A-01W-0643-08,196,14,0.07142857142857142,0.21806511
TCGA-27-2527-01A-01D-1494-08,61,13,0.21311475409836064,0.49345484
TCGA-32-1982-01A-01W-0837-08,106,13,0.12264150943396226,0.27547795
TCGA-19-1787-01B-01D-1495-08,655,13,0.01984732824427481,0.064004764
TCGA-06-0209-01A-01D-1491-08,73,12,0.1643835616438356,0.3314912
TCGA-12-0775-01A-01W-0348-08,112,12,0.10714285714285714,0.19404884
TCGA-12-0829-01A-01W-0424-08,152,12,0.07894736842105263,0.21511863
TCGA-06-6391-01A-11D-1696-08,71,11,0.15492957746478872,0.44215515
TCGA-41-3393-01A-01D-1353-08,73,11,0.1506849315068493,0.24148591
TCGA-19-2620-01A-01W-0922-08,109,11,0.10091743119266056,0.16461815
TCGA-14-1396-01A-01W-0611-08,187,11,0.058823529411764705,0.16920406
TCGA-06-6700-01A-12D-1845-08,52,10,0.19230769230769232,0.38224807
TCGA-14-1823-01A-01D-1494-08,54,10,0.18518518518518517,0.2843276
TCGA-06-0125-02A-11D-2280-08,78,10,0.1282051282051282,0.20566532
TCGA-19-1787-01B-01W-0922-08,598,10,0.016722408026755852,0.04786966
TCGA-28-2501-01A-01D-1696-08,47,9,0.19148936170212766,0.5017132
TCGA-76-6193-01A-11D-1696-08,49,9,0.1836734693877551,0.33104336
TCGA-19-5953-01B-12D-1845-08,54,9,0.16666666666666666,0.2515015
TCGA-76-6192-01A-11D-1696-08,54,9,0.16666666666666666,0.3125931
TCGA-06-6697-01A-11D-1845-08,66,9,0.13636363636363635,0.3084928
TCGA-06-0119-01A-08D-1490-08,69,9,0.13043478260869565,0.38621432
TCGA-28-1752-01A-01W-0643-08,73,9,0.1232876712328767,0.25671467
TCGA-28-2513-01A-01D-1494-08,76,9,0.11842105263157894,0.48065844
TCGA-19-1790-01B-01D-1353-08,80,9,0.1125,0.26288828
TCGA-26-6174-01A-21D-1845-08,88,9,0.10227272727272728,0.30660847
TCGA-27-1831-01A-01W-0837-08,91,9,0.0989010989010989,0.20955041
TCGA-12-3651-01A-01W-0922-08,97,9,0.09278350515463918,0.1717484
TCGA-06-0190-02A-01D-2280-08,99,9,0.09090909090909091,0.22791164
TCGA-19-0957-02A-11D-2280-08,121,9,0.0743801652892562,0.26995957
TCGA-02-0033-01A-01D-1490-08,33,8,0.24242424242424243,0.44666842
TCGA-16-0850-01A-01W-0424-08,57,8,0.14035087719298245,0.21050282
TCGA-14-1829-01A-01W-0643-08,63,8,0.12698412698412698,0.20080893
TCGA-32-1977-01A-01D-1353-08,70,8,0.11428571428571428,0.3079806
TCGA-16-1045-01B-01W-0611-08,81,8,0.09876543209876543,0.23755985
TCGA-14-1825-01A-01W-0643-08,86,8,0.09302325581395349,0.17752498
TCGA-74-6575-01A-11D-1845-08,90,8,0.08888888888888889,0.15903394
TCGA-06-0881-01A-02W-0424-08,93,8,0.08602150537634409,0.19224991
TCGA-16-0848-01A-01D-1492-08,352,8,0.022727272727272728,0.09736747
TCGA-28-5211-01C-11D-1845-08,34,7,0.20588235294117646,0.35575843
TCGA-28-2502-01B-01D-1494-08,53,7,0.1320754716981132,0.28691202
TCGA-06-0644-01A-02D-1492-08,58,7,0.1206896551724138,0.19111791
TCGA-12-1093-01A-01W-0611-08,66,7,0.10606060606060606,0.23898186
TCGA-12-0818-01A-01W-0424-08,68,7,0.10294117647058823,0.20810474
TCGA-14-0789-01A-01D-1492-08,70,7,0.1,0.19601062
TCGA-76-4928-01B-01D-1486-08,80,7,0.0875,0.40765828
TCGA-06-1084-01A-01W-0611-08,82,7,0.08536585365853659,0.2360419
TCGA-19-2621-01B-01W-0922-08,86,7,0.08139534883720931,0.16602954
TCGA-16-0848-01A-01W-0424-08,280,7,0.025,0.10166318
TCGA-12-0827-01A-01W-0424-08,30,6,0.2,0.26667544
TCGA-28-1750-01A-01W-0643-08,45,6,0.13333333333333333,0.24463624
TCGA-RR-A6KB-01A-12D-A33T-08,45,6,0.13333333333333333,0.33237103
TCGA-06-0645-01A-01D-1492-08,57,6,0.10526315789473684,0.16477793
TCGA-12-1597-01B-01D-1495-08,59,6,0.1016949152542373,0.14281395
TCGA-16-0846-01A-01W-0424-08,59,6,0.1016949152542373,0.15735961
TCGA-06-0875-01A-01D-1492-08,66,6,0.09090909090909091,0.15078516
TCGA-16-1048-01B-01D-1353-08,67,6,0.08955223880597014,0.12915213
TCGA-19-2629-01A-01D-1495-08,70,6,0.08571428571428572,0.31310862
TCGA-02-2466-01A-01W-0837-08,85,6,0.07058823529411765,0.13222043
TCGA-06-0649-01B-01D-1492-08,94,6,0.06382978723404255,0.19469951
TCGA-27-1834-01A-01W-0643-08,100,6,0.06,0.18948972
TCGA-41-4097-01A-01D-1353-08,30,5,0.16666666666666666,0.325125
TCGA-76-6662-01A-11D-1845-08,37,5,0.13513513513513514,0.22457413
TCGA-06-0169-01A-01D-1490-08,48,5,0.10416666666666667,0.2909193
TCGA-27-1830-01A-01D-1494-08,48,5,0.10416666666666667,0.18165477
TCGA-14-0865-01B-01W-0643-08,52,5,0.09615384615384616,0.13097444
TCGA-27-2518-01A-01D-1494-08,55,5,0.09090909090909091,0.2138706
