level,group,threshold,n_variants,n_predicted_artifact,artifact_fraction,median_rep_error_probability,mean_rep_error_probability
overall,all,0.75,53164,30177,0.567621,0.881978,0.631627
sample,TCGA-02-0003-01A-01D-1490-08,0.75,47,12,0.255319,0.278309,0.406652
sample,TCGA-02-0033-01A-01D-1490-08,0.75,33,28,0.848485,0.990748,0.853191
sample,TCGA-02-0047-01A-01D-1490-08,0.75,64,46,0.71875,0.934598,0.768935
sample,TCGA-02-0055-01A-01D-1490-08,0.75,53,37,0.698113,0.943496,0.709598
sample,TCGA-02-2466-01A-01W-0837-08,0.75,85,47,0.552941,0.861809,0.575668
sample,TCGA-02-2470-01A-01D-1494-08,0.75,57,45,0.789474,0.985506,0.780413
sample,TCGA-02-2470-01A-01W-0837-08,0.75,81,58,0.716049,0.965657,0.762985
sample,TCGA-02-2483-01A-01D-1494-08,0.75,49,26,0.530612,0.778633,0.650053
sample,TCGA-02-2485-01A-01D-1494-08,0.75,55,21,0.381818,0.449216,0.502672
sample,TCGA-02-2485-01A-01W-0837-08,0.75,60,24,0.4,0.632941,0.535919
sample,TCGA-02-2486-01A-01D-1494-08,0.75,59,38,0.644068,0.88822,0.714288
sample,TCGA-02-2486-01A-01W-0837-08,0.75,69,42,0.608696,0.860575,0.696088
sample,TCGA-06-0119-01A-08D-1490-08,0.75,69,55,0.797101,0.976856,0.812799
sample,TCGA-06-0122-01A-01D-1490-08,0.75,84,56,0.666667,0.924574,0.735724
sample,TCGA-06-0124-01A-01D-1490-08,0.75,62,56,0.903226,0.97078,0.862231
sample,TCGA-06-0125-01A-01D-1490-08,0.75,62,28,0.451613,0.524751,0.545731
sample,TCGA-06-0125-02A-11D-2280-08,0.75,78,67,0.858974,0.975626,0.853714
sample,TCGA-06-0126-01A-01D-1490-08,0.75,55,28,0.509091,0.764722,0.660763
sample,TCGA-06-0128-01A-01D-1490-08,0.75,51,29,0.568627,0.861239,0.662786
sample,TCGA-06-0129-01A-01D-1490-08,0.75,35,21,0.6,0.940519,0.630398
sample,TCGA-06-0130-01A-01D-1490-08,0.75,27,24,0.888889,0.986568,0.884981
sample,TCGA-06-0132-01A-02D-1491-08,0.75,23,22,0.956522,0.989523,0.954362
sample,TCGA-06-0137-01A-01D-1490-08,0.75,77,25,0.324675,0.430485,0.465917
sample,TCGA-06-0139-01A-01D-1490-08,0.75,3,2,0.666667,0.874468,0.602435
sample,TCGA-06-0140-01A-01D-1490-08,0.75,38,27,0.710526,0.974356,0.740454
sample,TCGA-06-0141-01A-01D-1490-08,0.75,15,13,0.866667,0.934996,0.863479
