chrom,split,n_loci,n_positive,n_negative,positive_fraction
1,train,7756,146,7610,0.018824136152656008
10,train,3844,39,3805,0.010145681581685745
11,train,3655,45,3610,0.012311901504787962
12,train,3970,53,3917,0.013350125944584382
13,train,2513,12,2501,0.00477516912057302
14,train,3561,61,3500,0.017130019657399607
15,train,2880,60,2820,0.020833333333333332
16,train,1839,55,1784,0.029907558455682437
17,val,2410,60,2350,0.024896265560165973
18,val,2416,36,2380,0.014900662251655629
19,test,2018,72,1946,0.035678889990089196
2,train,8180,115,8065,0.014058679706601468
20,test,2464,43,2421,0.0174512987012987
21,test,1074,6,1068,0.00558659217877095
22,test,1448,57,1391,0.0393646408839779
3,train,6225,67,6158,0.010763052208835342
4,train,6869,62,6807,0.009026059106128985
5,train,5952,69,5883,0.011592741935483871
6,train,3656,31,3625,0.008479212253829322
7,train,7013,142,6871,0.02024811065164694
8,train,5959,90,5869,0.015103205235777815
9,train,3745,57,3688,0.015220293724966623
