Tumor_Sample_Barcode,n_variants,n_artifacts,artifact_rate,mean_probability,median_probability
TCGA-06-5416-01A-01D-1486-08,15171,9517,0.6273152725594885,0.6877914604476696,0.9706343
TCGA-19-5956-01A-11D-1696-08,8058,4732,0.5872424919334822,0.6351106684500227,0.9362642999999999
TCGA-32-2616-01A-01D-1495-08,1162,602,0.5180722891566265,0.6144229720372387,0.78269005
TCGA-32-2616-01A-01W-0922-08,676,325,0.4807692307692308,0.5512132812184058,0.696756425
TCGA-16-0848-01A-01D-1492-08,352,200,0.5681818181818182,0.6513289894012254,0.859833835
TCGA-19-1787-01B-01D-1495-08,655,152,0.23206106870229007,0.2498432491325548,2.3812379e-07
TCGA-16-0848-01A-01W-0424-08,280,141,0.5035714285714286,0.5775571209779174,0.765640125
TCGA-19-1787-01B-01W-0922-08,598,133,0.22240802675585283,0.24244753825970494,5.14873075e-07
TCGA-14-1795-01A-01W-0643-08,196,120,0.6122448979591837,0.6270335713932511,0.9294500800000001
TCGA-14-1396-01A-01W-0611-08,187,112,0.5989304812834224,0.6459460684220238,0.85873413
TCGA-19-0957-02A-11D-2280-08,121,101,0.8347107438016529,0.8441143797447644,0.97241396
TCGA-12-0829-01A-01W-0424-08,152,89,0.5855263157894737,0.6394437695033329,0.90740897
TCGA-32-1982-01A-01W-0837-08,106,78,0.7358490566037735,0.7435300874068632,0.94183732
TCGA-76-4928-01B-01D-1486-08,80,77,0.9625,0.9430399320576404,0.98950252
TCGA-28-2513-01A-01W-0837-08,86,77,0.8953488372093024,0.8920005684544577,0.988351185
TCGA-19-4065-02A-11D-2280-08,99,77,0.7777777777777778,0.7963902716597363,0.9872149
TCGA-12-3651-01A-01W-0922-08,97,76,0.7835051546391752,0.7893677602475038,0.97018415
TCGA-12-0775-01A-01W-0348-08,112,76,0.6785714285714286,0.7431148361955987,0.89885535
TCGA-26-6174-01A-21D-1845-08,88,75,0.8522727272727273,0.8713693065761494,0.98522887
TCGA-19-2620-01A-01W-0922-08,109,75,0.6880733944954128,0.7278853058786231,0.89682245
TCGA-28-2513-01A-01D-1494-08,76,73,0.9605263157894737,0.9451532778859182,0.98003572
TCGA-74-6575-01A-11D-1845-08,90,71,0.7888888888888889,0.7963108413782902,0.956608825
TCGA-06-0649-01B-01D-1492-08,94,71,0.7553191489361702,0.7766730422113095,0.9628661000000001
TCGA-32-1982-01A-01D-1494-08,79,69,0.8734177215189873,0.8635272282179738,0.9746814
TCGA-19-1790-01B-01D-1353-08,80,68,0.85,0.8303160456497107,0.980763475
TCGA-06-0881-01A-02W-0424-08,93,68,0.7311827956989247,0.7742611269338558,0.90302
TCGA-06-0125-02A-11D-2280-08,78,67,0.8589743589743589,0.8537142056011626,0.9756265
