index,split
0,train
1,train
2,test
3,val
4,train
5,test
6,train
7,train
8,train
9,val
10,train
11,train
12,train
13,train
14,train
15,test
16,val
17,val
18,test
19,train
20,test
21,train
22,test
23,train
24,val
25,train
26,test
27,train
28,test
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,test
37,test
38,train
39,val
40,train
41,train
42,test
43,train
44,train
45,test
46,train
47,val
48,test
49,val
50,test
51,test
52,train
53,val
54,train
55,test
56,test
57,train
58,test
59,train
60,test
61,train
62,train
63,train
64,test
65,train
66,test
67,train
68,train
69,train
70,val
71,train
72,train
73,train
74,test
75,train
76,train
77,test
78,val
79,test
80,train
81,train
82,val
83,train
84,val
85,train
86,train
87,val
88,val
89,train
90,train
91,train
92,val
93,train
94,test
95,train
96,train
97,train
98,train
99,train
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,val
111,test
112,test
113,train
114,train
115,train
116,train
117,test
118,train
119,train
120,val
121,train
122,train
123,train
124,val
125,test
126,test
127,train
128,train
129,test
130,train
131,train
132,test
133,train
134,train
135,val
136,test
137,train
138,test
139,train
140,val
141,val
142,val
143,train
144,train
145,train
146,train
147,val
148,test
149,train
150,train
151,val
152,train
153,test
154,train
155,test
156,val
157,train
158,train
159,test
160,train
161,train
162,test
163,test
164,train
165,train
166,val
167,val
168,val
169,test
170,train
171,train
172,val
173,val
174,test
175,train
176,train
177,train
178,test
179,train
180,train
181,val
182,train
183,test
184,test
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,test
193,test
194,val
195,val
196,train
197,val
198,val
199,train
200,val
201,train
202,val
203,test
204,train
205,test
206,test
207,test
208,train
209,test
210,train
211,test
212,train
213,train
214,val
215,test
216,val
217,train
218,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,val
227,train
228,test
229,test
230,train
231,train
232,train
233,train
234,train
235,test
236,val
237,train
238,test
239,train
240,train
241,train
242,train
243,train
244,test
245,val
246,test
247,train
248,train
249,train
250,train
251,train
252,train
253,val
254,train
255,test
256,val
257,val
258,val
259,train
260,test
261,train
262,train
263,train
264,train
265,val
266,train
267,train
268,train
269,train
270,train
271,train
