Hugo_Symbol,threshold,n_variants,n_predicted_artifact,artifact_fraction,median_rep_error_probability,mean_rep_error_probability
TTN,0.75,262,157,0.599237,0.908486,0.670611
MUC16,0.75,132,99,0.75,0.970073,0.782137
EGFR,0.75,132,65,0.492424,0.720919,0.548796
FLG,0.75,74,48,0.648649,0.895621,0.726018
MUC17,0.75,49,43,0.877551,0.990289,0.893078
TP53,0.75,155,37,0.23871,0.000589,0.29546
RELN,0.75,42,33,0.785714,0.980406,0.816019
RYR2,0.75,62,33,0.532258,0.825998,0.620067
PCLO,0.75,41,32,0.780488,0.978714,0.802651
PKHD1,0.75,47,32,0.680851,0.930765,0.730178
NF1,0.75,47,31,0.659574,0.957899,0.731342
HMCN1,0.75,47,30,0.638298,0.953409,0.69182
SPTA1,0.75,53,30,0.566038,0.818299,0.63909
PTEN,0.75,118,29,0.245763,0.000281,0.283221
SYNE1,0.75,39,28,0.717949,0.953209,0.762016
LRP2,0.75,47,28,0.595745,0.826054,0.689323
OBSCN,0.75,72,28,0.388889,0.288447,0.447398
DNAH11,0.75,39,26,0.666667,0.971172,0.690045
DNAH5,0.75,47,25,0.531915,0.824124,0.623647
DST,0.75,50,25,0.5,0.746245,0.573311
GRM3,0.75,25,24,0.96,0.987015,0.947258
APOB,0.75,26,23,0.884615,0.954442,0.885385
FCGBP,0.75,29,23,0.793103,0.977897,0.824647
PIK3CG,0.75,32,23,0.71875,0.969283,0.742681
DNAH2,0.75,41,23,0.560976,0.83732,0.640541
DNAH3,0.75,49,23,0.469388,0.671895,0.609719
FAT2,0.75,29,22,0.758621,0.955398,0.766513
COL6A3,0.75,36,22,0.611111,0.872238,0.652554
USH2A,0.75,43,22,0.511628,0.811944,0.651575
KMT2C,0.75,28,21,0.75,0.990393,0.773289
GRIN2A,0.75,31,21,0.677419,0.956157,0.739999
DCHS2,0.75,25,20,0.8,0.953928,0.810683
PIK3CA,0.75,39,20,0.512821,0.807788,0.561605
CNTNAP2,0.75,23,19,0.826087,0.982749,0.826731
TCHH,0.75,24,19,0.791667,0.980673,0.807367
TRRAP,0.75,24,19,0.791667,0.981361,0.865236
SDK1,0.75,25,19,0.76,0.977306,0.748055
HUWE1,0.75,26,19,0.730769,0.952028,0.736205
MACF1,0.75,29,19,0.655172,0.919648,0.72422
AHNAK,0.75,30,19,0.633333,0.935622,0.677247
RIMS2,0.75,34,19,0.558824,0.853763,0.653073
PLXNA4,0.75,18,18,1.0,0.991123,0.979722
NEB,0.75,26,18,0.692308,0.948395,0.714362
CSMD3,0.75,27,18,0.666667,0.921963,0.748272
FER1L6,0.75,29,18,0.62069,0.944046,0.752309
AHNAK2,0.75,38,18,0.473684,0.544939,0.496947
PKD1L1,0.75,18,17,0.944444,0.991302,0.928997
FAT4,0.75,21,17,0.809524,0.966383,0.784188
DNAH7,0.75,23,17,0.73913,0.907967,0.686908
PIK3R1,0.75,27,17,0.62963,0.89291,0.734486
ATRX,0.75,35,17,0.485714,0.597095,0.498198
HYDIN,0.75,35,17,0.485714,0.684734,0.597305
MUC3A,0.75,17,16,0.941176,0.989552,0.946211
LCT,0.75,18,16,0.888889,0.957376,0.839209
VPS13D,0.75,21,16,0.761905,0.977631,0.779133
