Hugo_Symbol,n_variants,n_artifacts,artifact_rate,mean_probability,median_probability
TTN,262,157,0.5992366412213741,0.6706111933495154,0.90848613
MUC16,132,99,0.75,0.7821366184309957,0.970072665
EGFR,132,65,0.49242424242424243,0.5487958249804902,0.7209189300000001
FLG,74,48,0.6486486486486487,0.7260176793600092,0.89562125
MUC17,49,43,0.8775510204081632,0.8930777030612245,0.99028873
TP53,155,37,0.23870967741935484,0.29545968724267296,0.00058873923
RELN,42,33,0.7857142857142857,0.8160191637412928,0.98040622
RYR2,62,33,0.532258064516129,0.6200673683865549,0.82599825
PCLO,41,32,0.7804878048780488,0.8026509309129268,0.9787145
PKHD1,47,32,0.6808510638297872,0.7301782722452405,0.9307654
NF1,47,31,0.6595744680851063,0.7313418756485569,0.9578988
HMCN1,47,30,0.6382978723404256,0.6918203246492776,0.95340896
SPTA1,53,30,0.5660377358490566,0.6390900515423218,0.818299
PTEN,118,29,0.2457627118644068,0.2832212577117838,0.000280812655
SYNE1,39,28,0.717948717948718,0.762015569861536,0.9532087
LRP2,47,28,0.5957446808510638,0.6893231366440593,0.8260538
OBSCN,72,28,0.3888888888888889,0.44739799273958386,0.28844695
DNAH11,39,26,0.6666666666666666,0.6900448638551392,0.97117203
DNAH5,47,25,0.5319148936170213,0.6236470630346809,0.8241237
DST,50,25,0.5,0.5733114480572299,0.74624543
GRM3,25,24,0.96,0.9472578507999999,0.98701453
APOB,26,23,0.8846153846153846,0.8853853040884616,0.95444242
FCGBP,29,23,0.7931034482758621,0.8246473307597987,0.9778967
PIK3CG,32,23,0.71875,0.7426806913347362,0.9692829000000001
DNAH2,41,23,0.5609756097560976,0.6405406945227146,0.83732015
DNAH3,49,23,0.46938775510204084,0.6097185730538177,0.6718952
FAT2,29,22,0.7586206896551724,0.766513412211432,0.9553985
COL6A3,36,22,0.6111111111111112,0.6525541281195,0.8722375499999999
USH2A,43,22,0.5116279069767442,0.6515751820402309,0.81194407
KMT2C,28,21,0.75,0.7732891241990189,0.990393065
GRIN2A,31,21,0.6774193548387096,0.7399992013101239,0.9561572
DCHS2,25,20,0.8,0.8106830152092,0.95392764
PIK3CA,39,20,0.5128205128205128,0.5616048844645651,0.807788
CNTNAP2,23,19,0.8260869565217391,0.8267306514956523,0.9827492
TCHH,24,19,0.7916666666666666,0.807367465125,0.9806727799999999
TRRAP,24,19,0.7916666666666666,0.8652365,0.98136145
SDK1,25,19,0.76,0.7480554981774695,0.97730553
HUWE1,26,19,0.7307692307692307,0.7362048416756655,0.9520275
MACF1,29,19,0.6551724137931034,0.7242197009655172,0.9196483
AHNAK,30,19,0.6333333333333333,0.6772466913247099,0.93562225
RIMS2,34,19,0.5588235294117647,0.6530729991647058,0.85376295
PLXNA4,18,18,1.0,0.979722183888889,0.9911229050000001
NEB,26,18,0.6923076923076923,0.7143616432423303,0.94839495
CSMD3,27,18,0.6666666666666666,0.7482715985185185,0.92196316
FER1L6,29,18,0.6206896551724138,0.752308531277651,0.9440464
AHNAK2,38,18,0.47368421052631576,0.49694696753613327,0.5449392
PKD1L1,18,17,0.9444444444444444,0.9289972929999999,0.9913018
FAT4,21,17,0.8095238095238095,0.7841878536914286,0.9663826
DNAH7,23,17,0.7391304347826086,0.6869081777151783,0.9079674
PIK3R1,27,17,0.6296296296296297,0.7344863193333333,0.8929097
ATRX,35,17,0.4857142857142857,0.49819766429694934,0.5970946
HYDIN,35,17,0.4857142857142857,0.5973054526171957,0.68473357
MUC3A,17,16,0.9411764705882353,0.9462106188235294,0.98955184
LCT,18,16,0.8888888888888888,0.8392091983333334,0.957375835
VPS13D,21,16,0.7619047619047619,0.7791327045714286,0.9776313
NLRP5,22,16,0.7272727272727273,0.7665017639092163,0.967875865
KIF2B,25,16,0.64,0.7766670133748034,0.9229282
RYR1,26,16,0.6153846153846154,0.7004531053884615,0.97066532
DSP,28,16,0.5714285714285714,0.6402162708731668,0.8223525
LAMA1,31,16,0.5161290322580645,0.5973775917621184,0.7549901
ADGRV1,33,16,0.48484848484848486,0.6126939958898883,0.6884124
COL1A2,16,15,0.9375,0.9156366735061269,0.982837855
