Hugo_Symbol,threshold,n_variants,n_predicted_artifact,artifact_fraction,median_rep_error_probability,mean_rep_error_probability
TTN,0.75,262,157,0.5992366412213741,0.90848613,0.6706111933495154
MUC16,0.75,132,99,0.75,0.970072665,0.7821366184309957
EGFR,0.75,132,65,0.49242424242424243,0.7209189300000001,0.5487958249804902
FLG,0.75,74,48,0.6486486486486487,0.89562125,0.7260176793600092
MUC17,0.75,49,43,0.8775510204081632,0.99028873,0.8930777030612245
TP53,0.75,155,37,0.23870967741935484,0.00058873923,0.29545968724267296
RELN,0.75,42,33,0.7857142857142857,0.98040622,0.8160191637412928
RYR2,0.75,62,33,0.532258064516129,0.82599825,0.6200673683865549
PCLO,0.75,41,32,0.7804878048780488,0.9787145,0.8026509309129268
PKHD1,0.75,47,32,0.6808510638297872,0.9307654,0.7301782722452405
NF1,0.75,47,31,0.6595744680851063,0.9578988,0.7313418756485569
HMCN1,0.75,47,30,0.6382978723404256,0.95340896,0.6918203246492776
SPTA1,0.75,53,30,0.5660377358490566,0.818299,0.6390900515423218
PTEN,0.75,118,29,0.2457627118644068,0.000280812655,0.2832212577117838
SYNE1,0.75,39,28,0.717948717948718,0.9532087,0.762015569861536
LRP2,0.75,47,28,0.5957446808510638,0.8260538,0.6893231366440593
OBSCN,0.75,72,28,0.3888888888888889,0.28844695,0.44739799273958386
DNAH11,0.75,39,26,0.6666666666666666,0.97117203,0.6900448638551392
DNAH5,0.75,47,25,0.5319148936170213,0.8241237,0.6236470630346809
DST,0.75,50,25,0.5,0.74624543,0.5733114480572299
GRM3,0.75,25,24,0.96,0.98701453,0.9472578507999999
APOB,0.75,26,23,0.8846153846153846,0.95444242,0.8853853040884616
FCGBP,0.75,29,23,0.7931034482758621,0.9778967,0.8246473307597987
PIK3CG,0.75,32,23,0.71875,0.9692829000000001,0.7426806913347362
DNAH2,0.75,41,23,0.5609756097560976,0.83732015,0.6405406945227146
DNAH3,0.75,49,23,0.46938775510204084,0.6718952,0.6097185730538177
FAT2,0.75,29,22,0.7586206896551724,0.9553985,0.766513412211432
COL6A3,0.75,36,22,0.6111111111111112,0.8722375499999999,0.6525541281195
USH2A,0.75,43,22,0.5116279069767442,0.81194407,0.6515751820402309
KMT2C,0.75,28,21,0.75,0.990393065,0.7732891241990189
GRIN2A,0.75,31,21,0.6774193548387096,0.9561572,0.7399992013101239
DCHS2,0.75,25,20,0.8,0.95392764,0.8106830152092
PIK3CA,0.75,39,20,0.5128205128205128,0.807788,0.5616048844645651
CNTNAP2,0.75,23,19,0.8260869565217391,0.9827492,0.8267306514956523
TCHH,0.75,24,19,0.7916666666666666,0.9806727799999999,0.807367465125
TRRAP,0.75,24,19,0.7916666666666666,0.98136145,0.8652365
SDK1,0.75,25,19,0.76,0.97730553,0.7480554981774695
HUWE1,0.75,26,19,0.7307692307692307,0.9520275,0.7362048416756655
MACF1,0.75,29,19,0.6551724137931034,0.9196483,0.7242197009655172
AHNAK,0.75,30,19,0.6333333333333333,0.93562225,0.6772466913247099
RIMS2,0.75,34,19,0.5588235294117647,0.85376295,0.6530729991647058
PLXNA4,0.75,18,18,1.0,0.9911229050000001,0.979722183888889
NEB,0.75,26,18,0.6923076923076923,0.94839495,0.7143616432423303
CSMD3,0.75,27,18,0.6666666666666666,0.92196316,0.7482715985185185
FER1L6,0.75,29,18,0.6206896551724138,0.9440464,0.752308531277651
AHNAK2,0.75,38,18,0.47368421052631576,0.5449392,0.49694696753613327
PKD1L1,0.75,18,17,0.9444444444444444,0.9913018,0.9289972929999999
FAT4,0.75,21,17,0.8095238095238095,0.9663826,0.7841878536914286
DNAH7,0.75,23,17,0.7391304347826086,0.9079674,0.6869081777151783
PIK3R1,0.75,27,17,0.6296296296296297,0.8929097,0.7344863193333333
ATRX,0.75,35,17,0.4857142857142857,0.5970946,0.49819766429694934
HYDIN,0.75,35,17,0.4857142857142857,0.68473357,0.5973054526171957
MUC3A,0.75,17,16,0.9411764705882353,0.98955184,0.9462106188235294
LCT,0.75,18,16,0.8888888888888888,0.957375835,0.8392091983333334
VPS13D,0.75,21,16,0.7619047619047619,0.9776313,0.7791327045714286
